score,content,at,thumbsUpCount,reviewCreatedVersion
1,"doesn't support 360 photos at all, still. years later.",2026-09-22 06:22:34,0,7.93.0.982110057
4,"I have had Google photos for about 10 years. The features they have added in that time have kept this app very competitive and up to date with the latest technology and AI. I do have a few wish list items, the biggest one being Background Removal. The magic eraser tool is great and I use it daily as a stand in for background removal. But it takes time because you have to remove the background in pieces. It takes too much time and can't always remove everything.",2026-09-22 04:28:12,0,7.93.0.982110057
2,"This app being the native photo gallery on Pixel makes me regret converting from Samsung. I hate this app. I hate that I have to sift through Collections to find anything NOT taken directly by the phone camera. It doesn't read an image metadata date - downloaded something from 2011 today? well todat is the date now. I hate not being able to just scroll one Main Gallery. I hate that any editing only saves as a copy, forcing another step to delete the original.",2026-09-22 03:29:26,0,7.92.0.980155911
5,it's always work well for me for several years now we'll see because i'm about to updated on my new 5g phone stay tuned,2026-09-22 03:21:44,0,7.92.0.980155911
1,"Dont know who the 'smart guy' who decided to remove the share button when selecting multiple items is but it is absolutly horrendus, I share photos and videos to specified folders in my Google Drive daily as backup and I use this app to do so but now that option does not show up at all in the pull up menu, not even with 2 photos selected, now have to manually scroll through each individual photo and upload them one by one to Google Drive instead of selecting multiple at a time, crazy bad design",2026-09-22 01:37:01,1,7.93.0.982110057
1,"Pack it in with the updates please, this has to stop.",2026-09-21 23:55:44,0,7.92.0.980155911
5,Keeps my photos safe and secure. Updates were nice also thanks so mooch.,2026-09-21 23:33:19,65,7.92.0.980155911
5,"Pictures are saved forever in the cloud & it saves space on my phone. With only 16GB of storage, this is an awesome App. It will automatically backup pictures & videos to the cloud, then delete them from the phone so you can take more. It's Awesome!!! The above review was from 8 years ago, and the Google Photos App had only gotten better! Now it has integrated AI and so many editing features. It's the best!",2026-09-21 21:07:27,36,7.92.0.980155911
1,Give us an option to block the visibility of local content on the app. I want to see ONLY my backed-up photos and avoid local device folders since I already have the Gallery app for that. I hate that I have to scroll through all these unnecessary photos that aren't backed up(for a reason) before I get to the photos that I'm looking for that aren't showing under the search.,2026-09-21 20:28:56,0,7.92.0.980155911
2,"Events and occasions are how I want photos arranged in Cloud! Dates are critical. Sorting photos by topic is not the way to arrange my photos! Also, music is awful behind photos ""memories"" montage. I want to control my own content!",2026-09-21 20:03:00,0,7.92.0.980155911
5,"After thirty years of excellent and reliable service, it is still very much appreciated and my sole app for photos and videos.",2026-09-21 18:58:20,0,7.92.0.980155911
4,it keeps saying there is an update,2026-09-21 15:52:05,0,7.92.0.980155911
5,update please 🙏 😊😊😊,2026-09-21 15:29:23,1,7.89.0.970885251
5,great photos celebrating 7 years on Facebook hosting A great prayer line sweet Hour of Prayer I love google photos thank you google photos,2026-09-21 14:21:54,0,7.86.0.956040398
3,Google photo update,2026-09-21 10:22:39,0,7.92.0.980155911
5,canfind my pictures,2026-09-21 10:17:40,0,7.47.0.810631069
3,Needs update need a duplicating tool please,2026-09-21 09:15:41,0,7.92.0.980155911
1,sucks and there's an update and it sucks too,2026-09-21 07:47:26,1,7.47.0.810631069
1,"Can't find my device photos even if I backed everything up. I can't also find it in my files. I didn't even ""accidentally"" delete it. Please fix this issue. I don't know what to do. Tried clearing the cache. The photos were very important to me.",2026-09-21 07:08:00,1,7.93.0.982110057
2,"Stop rolling out useless updates like shimmer and thumbnails being bigger with some photos, leave things be 😡",2026-09-21 04:22:43,56,7.92.0.980155911
1,Terrible software. Not only will it delete photos from the device without express consent but it is a bad UI that makes it hard to find shares! taking away info and training AI on my photos..,2026-09-21 00:45:57,2,7.92.0.980155911
1,panoramic view mode has been broken for YEARS,2026-09-20 19:08:19,0,7.92.0.980155911
1,"Whoever designed this was linguistically challenged. Stop using so many synonyms. Images, photos, pictures, is all the SAME thing!!! If there's a way to be ignorant, people will find it. You star a photo and can't find it elsewhere. It gets filed under collections that doesn't show up everywhere either. Then you run into a stupid folder called favorites. Starred and favorites is the SAME thing. This is a display of massive lack of intelligence.",2026-09-20 18:31:39,0,7.92.0.980155911
